,time_utc,18_evening,12_evening,6_evening,18_morning,12_morning,6_morning
2023-01-04,2023-01-04,2459948.7179895914,2459948.6992186615,2459948.6802257136,2459949.1523860986,2459949.171145837,2459949.1901312065
2023-01-05,2023-01-05,2459949.718386007,2459949.699628474,2459949.6806504107,2459950.15261126,2459950.1713575837,2459950.1903270544
2023-01-06,2023-01-06,2459950.718783397,2459950.700040105,2459950.6810778733,2459951.1528253513,2459951.1715574404,2459951.1905101747
2023-01-07,2023-01-07,2459951.719181454,2459951.7004532167,2459951.6815062105,2459952.1530281245,2459952.171745187,2459952.190680379
2023-01-08,2023-01-08,2459952.719579878,2459952.700867483,2459952.6819359222,2459953.153219341,2459953.1719206152,2459953.19083749
2023-01-09,2023-01-09,2459953.719978379,2459953.7012825822,2459953.682367324,2459954.1533987704,2459954.1720835264,2459954.1909813406
2023-01-10,2023-01-10,2459954.720376674,2459954.7016967586,2459954.6828000713,2459955.1535661938,2459955.1722337315,2459955.191111777
2023-01-11,2023-01-11,2459955.7207744885,2459955.702110911,2459955.683233828,2459956.1537213987,2459956.172371052,2459956.1912286542
2023-01-12,2023-01-12,2459956.721171553,2459956.702524982,2459956.683668259,2459957.1538641816,2459957.1724953195,2459957.1913321135
2023-01-13,2023-01-13,2459957.7215673104,2459957.7029386787,2459957.6841030354,2459958.1539943493,2459958.172606373,2459958.1914219074
2023-01-14,2023-01-14,2459958.7219608244,2459958.7033517133,2459958.6845378326,2459959.154111716,2459959.1727040643,2459959.191497695
2023-01-15,2023-01-15,2459959.7223528367,2459959.703763802,2459959.6849723286,2459960.154216104,2459960.1727882507,2459960.191559373
2023-01-16,2023-01-16,2459960.7227431033,2459960.704174664,2459960.685406204,2459961.1543073403,2459961.1728587965,2459961.1916068434
2023-01-17,2023-01-17,2459961.7231313796,2459961.7045840155,2459961.6858391347,2459962.154385255,2459962.17291557,2459962.1916400148
2023-01-18,2023-01-18,2459962.7235174202,2459962.7049915735,2459962.6862707967,2459963.154449683,2459963.172958443,2459963.1916587986
2023-01-19,2023-01-19,2459963.723900975,2459963.7053970485,2459963.686700858,2459964.154500458,2459964.1729872883,2459964.1916631088
2023-01-20,2023-01-20,2459964.724281789,2459964.7058001435,2459964.6871289806,2459965.15453741,2459965.173001976,2459965.1916528563
2023-01-21,2023-01-21,2459965.724659599,2459965.706200556,2459965.687554817,2459966.1545603704,2459966.173002377,2459966.1916279527
2023-01-22,2023-01-22,2459966.7250341466,2459966.7065979857,2459966.687977765,2459967.154569176,2459967.1729883673,2459967.191588316
2023-01-23,2023-01-23,2459967.7254051827,2459967.706992142,2459967.688396161,2459968.1545636756,2459968.172959835,2459968.1915338757
2023-01-24,2023-01-24,2459968.7257724754,2459968.707382751,2459968.6888113203,2459969.1545437383,2459969.1729166894,2459969.191464583
2023-01-25,2023-01-25,2459969.726135818,2459969.707769565,2459969.689222954,2459970.154509261,2459970.1728588673,2459970.191380415
2023-01-26,2023-01-26,2459970.72649503,2459970.708152023,2459970.6896307995,2459971.154460171,2459971.172786336,2459971.1912813815
2023-01-27,2023-01-27,2459971.726849961,2459971.7085293313,2459971.6900346233,2459972.1543964273,2459972.172699094,2459972.191167961
2023-01-28,2023-01-28,2459972.72720049,2459972.7089023096,2459972.6904342207,2459973.154318016,2459973.1725971657,2459973.191039851
2023-01-29,2023-01-29,2459973.7275465173,2459973.7092708214,2459973.6908294116,2459974.1542249457,2459974.1724806004,2459974.1908971127
2023-01-30,2023-01-30,2459974.727887967,2459974.709634751,2459974.6912200386,2459975.1541172448,2459975.1723494646,2459975.1907398487
2023-01-31,2023-01-31,2459975.7282246863,2459975.7099940022,2459975.6916059633,2459976.153994959,2459976.172203841,2459976.190568178
2023-02-01,2023-02-01,2459976.7285559834,2459976.7103484985,2459976.6919870675,2459977.15385815,2459977.1720438297,2459977.190382235
2023-02-02,2023-02-02,2459977.7288826243,2459977.71069818,2459977.6923632524,2459978.1537068933,2459978.171869543,2459978.1901821676
2023-02-03,2023-02-03,2459978.729204604,2459978.711043005,2459978.6927344347,2459979.1535412786,2459979.1716811056,2459979.189968133
2023-02-04,2023-02-04,2459979.7295219307,2459979.711382944,2459979.693100549,2459980.1533614057,2459980.171478654,2459980.1897403
2023-02-05,2023-02-05,2459980.729834629,2459980.7117179856,2459980.693461542,2459981.1531673865,2459981.171262334,2459981.189498848
